N,P,K,temperature,humidity,ph,rainfall,label
122.0,93.31,39.34,38.95,57.04,8.02,61.0,chickpea
112.51,68.79,25.51,33.47,36.48,3.53,74.79,jute
26.12,72.48,127.52,41.3,46.97,5.34,130.06,orange
124.96,111.09,23.84,12.0,16.25,6.52,48.23,pomegranate
75.51,44.47,155.86,30.89,38.59,5.76,68.5,pomegranate
113.04,49.53,9.1,29.92,65.67,5.34,117.71,mungbean
125.45,134.45,54.88,11.25,86.26,8.49,112.31,chickpea
44.52,12.87,183.13,27.97,87.05,9.11,229.8,wheat
15.41,72.99,148.71,31.33,54.46,8.74,40.94,rice
31.91,132.79,19.59,16.7,58.53,6.63,260.93,lentil
59.8,90.45,169.23,19.57,24.86,8.8,248.55,apple
114.52,81.5,103.61,32.41,65.62,9.03,234.48,mothbeans
120.5,39.96,174.36,26.39,15.65,5.96,106.62,mothbeans
0.97,53.06,125.15,40.03,32.77,5.2,250.41,mango
71.5,124.29,141.37,21.98,63.47,4.09,71.18,jute
58.44,83.29,203.7,19.33,34.82,6.37,54.83,rice
31.1,77.06,51.47,44.47,13.99,9.18,32.59,rice
16.78,18.94,129.79,41.89,76.55,6.87,283.01,mango
47.27,7.24,97.06,11.01,34.83,7.51,106.24,rice
132.01,139.92,12.89,36.98,15.05,4.18,276.93,pigeonpeas
45.25,57.78,7.89,13.86,15.98,4.36,96.33,coffee
72.63,89.45,28.85,10.96,30.14,6.29,274.12,lentil
98.42,16.16,134.82,19.58,24.24,9.21,273.1,cotton
50.91,100.64,118.43,19.43,71.94,5.66,278.63,rice
136.05,135.56,115.69,38.68,35.73,8.76,158.92,kidneybeans
134.74,85.59,11.37,34.87,74.38,4.22,262.46,jute
35.25,22.66,98.86,44.36,23.91,7.2,286.21,wheat
69.61,86.44,189.92,34.9,49.43,7.1,110.89,maize
42.12,112.29,84.52,24.64,65.04,8.66,137.28,coffee
39.88,61.9,129.98,34.46,62.16,3.52,221.39,maize
5.16,128.18,160.96,44.98,58.09,4.64,104.1,orange
85.34,95.82,161.79,34.85,83.99,4.82,231.07,coffee
70.38,130.89,108.86,36.66,28.28,9.2,40.69,mungbean
7.21,92.29,176.59,42.84,49.5,4.42,166.58,blackgram
39.01,23.38,83.28,13.98,80.72,3.72,54.25,wheat
127.16,48.36,182.74,34.67,16.23,6.71,102.13,wheat
33.54,33.25,53.05,39.78,14.47,6.67,92.42,muskmelon
20.29,132.24,61.04,43.4,28.66,8.56,254.9,mothbeans
68.52,111.46,15.62,17.38,60.64,9.19,74.18,chickpea
137.99,99.7,164.12,27.64,30.79,6.73,246.37,kidneybeans
33.89,47.14,88.41,33.82,25.22,9.08,242.31,rice
94.1,30.77,50.82,18.66,46.7,7.85,159.69,jute
106.63,110.9,51.36,31.02,59.09,5.09,85.48,lentil
33.27,71.38,185.28,19.02,29.88,9.07,83.53,mango
101.95,36.61,171.78,21.67,34.06,7.5,150.18,watermelon
51.49,91.33,115.71,25.45,59.08,5.98,22.47,rice
88.52,10.65,128.22,28.52,85.66,7.58,168.78,orange
88.69,50.66,99.87,25.73,63.98,5.91,286.78,coffee
75.01,70.6,83.33,27.26,72.63,4.19,63.32,grapes
12.64,25.71,188.1,20.45,39.34,7.81,180.54,orange
116.94,142.85,30.12,15.56,31.78,8.44,289.3,jute
44.91,34.27,88.69,11.66,46.34,7.87,260.95,banana
26.11,23.25,73.91,16.86,74.57,4.87,258.11,banana
5.71,33.49,104.63,30.37,46.5,9.24,250.12,kidneybeans
82.73,112.67,96.53,37.51,77.74,3.65,106.53,mothbeans
94.86,64.57,108.78,15.92,89.1,5.5,269.37,mango
2.32,84.16,32.98,13.8,15.76,5.06,283.58,blackgram
71.69,7.94,107.63,36.23,13.63,3.79,158.82,pigeonpeas
31.71,9.82,53.48,20.68,21.97,5.93,119.28,cotton
90.32,67.42,41.87,43.3,40.75,7.24,135.98,mothbeans
24.41,119.33,17.97,35.0,20.48,8.8,113.58,orange
96.73,128.93,157.53,21.44,79.65,9.44,79.48,watermelon
54.14,17.14,90.49,20.13,11.85,8.35,193.17,mungbean
131.14,80.37,130.33,28.33,35.26,6.31,177.53,coconut
19.25,132.85,150.52,12.77,24.78,7.84,149.52,muskmelon
47.75,59.32,140.86,14.12,84.52,8.56,46.84,apple
15.89,121.14,99.1,16.16,63.56,6.29,243.13,maize
129.46,23.72,82.58,37.12,82.96,8.21,68.98,mango
122.83,135.96,80.19,27.99,87.79,6.4,52.08,blackgram
36.11,110.2,133.01,10.37,49.77,5.82,194.46,coconut
92.4,136.79,103.96,33.57,28.75,6.66,131.62,watermelon
114.41,99.73,174.83,24.83,25.5,7.56,36.75,muskmelon
77.73,55.88,179.94,27.88,27.83,7.86,119.56,muskmelon
74.15,136.35,39.11,17.49,66.69,5.64,236.1,papaya
33.86,43.58,32.25,29.31,13.24,6.93,192.27,chickpea
13.03,51.5,131.08,44.27,14.11,8.96,121.58,papaya
125.61,103.11,65.25,12.57,58.65,9.36,73.71,papaya
126.06,112.14,8.71,19.94,61.36,4.86,196.9,wheat
88.63,135.12,182.73,18.5,63.22,4.66,268.52,pigeonpeas
47.46,33.67,50.38,18.7,39.75,7.56,200.96,mango
48.89,116.72,190.86,23.25,74.48,5.99,247.61,watermelon
101.63,108.4,148.49,38.63,52.69,3.65,166.03,lentil
125.6,13.93,157.53,41.95,18.44,5.58,221.03,jute
124.19,59.21,45.29,17.08,73.77,8.34,270.94,lentil
109.18,44.59,51.84,29.0,86.25,8.28,236.49,chickpea
89.88,47.63,109.25,32.29,14.8,6.47,274.76,grapes
11.78,142.61,39.42,28.26,41.31,6.34,140.72,mungbean
22.63,94.99,66.09,25.19,49.0,6.98,273.18,pigeonpeas
125.8,105.47,69.29,16.72,21.72,4.82,194.04,banana
84.9,141.73,36.93,27.09,79.42,6.66,263.61,mungbean
1.29,57.81,46.04,24.04,32.73,3.57,31.03,pigeonpeas
14.21,117.26,162.71,37.84,72.64,6.35,204.2,watermelon
92.89,65.83,38.44,36.73,63.68,5.52,257.43,papaya
0.71,126.73,10.69,14.69,57.84,7.55,68.78,grapes
22.51,30.29,130.87,13.1,25.37,7.33,205.3,maize
76.82,137.68,200.2,41.79,27.66,5.79,250.99,orange
96.87,35.63,71.24,28.74,13.79,3.54,100.63,lentil
91.27,50.67,28.73,40.02,29.26,5.01,133.47,grapes
31.4,110.87,119.08,12.04,37.64,7.3,179.46,grapes
99.71,60.13,186.27,28.43,76.65,3.93,165.37,jute
33.21,90.15,161.81,28.88,39.31,4.15,30.97,mothbeans
45.56,67.24,129.5,40.12,70.37,7.38,47.63,mothbeans
104.51,108.93,68.01,13.42,45.16,8.03,48.13,cotton
90.95,36.97,113.38,18.42,72.79,5.43,93.44,jute
118.89,13.18,23.25,24.23,88.1,6.44,88.84,coffee
92.07,46.99,140.79,40.3,29.19,9.17,227.82,pomegranate
79.56,71.4,150.02,42.86,78.99,9.17,180.37,orange
13.11,28.52,198.01,44.75,59.75,5.35,233.91,lentil
51.48,54.67,57.08,43.57,75.38,8.36,39.57,watermelon
37.13,61.0,8.69,10.21,62.13,7.06,155.86,banana
34.16,13.03,114.12,11.67,43.92,9.35,110.66,coffee
136.22,86.66,146.36,15.17,28.25,6.37,257.98,apple
55.03,128.81,163.08,22.21,15.6,8.15,218.18,jute
124.89,26.24,43.75,39.05,52.84,8.11,263.39,apple
88.36,88.69,57.35,41.24,89.23,6.48,33.0,rice
111.27,98.06,107.52,16.54,69.04,8.27,221.83,pigeonpeas
70.37,63.71,71.12,31.69,36.19,5.07,171.2,cotton
80.77,103.15,177.1,42.11,76.18,4.23,251.0,watermelon
68.95,62.5,99.75,26.23,71.52,6.05,162.0,papaya
27.33,75.65,164.92,13.62,32.53,9.16,171.26,grapes
101.14,6.03,121.12,26.02,11.14,6.5,34.49,lentil
39.31,101.84,159.62,23.15,19.45,7.31,207.19,lentil
3.4,97.59,71.53,30.22,80.18,7.24,96.48,coffee
90.37,10.38,171.28,25.35,76.93,4.3,25.51,mothbeans
24.8,56.56,59.91,10.61,33.62,5.84,38.6,mothbeans
131.66,142.06,114.22,44.79,32.82,7.74,288.04,grapes
133.55,63.9,47.8,29.02,73.43,9.33,116.9,watermelon
128.08,75.27,100.11,26.58,85.02,4.51,263.06,jute
51.82,132.39,68.64,43.41,72.33,5.96,288.71,coconut
2.16,105.42,58.34,15.46,58.45,4.07,284.11,blackgram
129.96,86.49,198.4,16.62,29.41,4.95,266.88,watermelon
59.95,116.69,37.01,38.28,52.06,5.76,270.56,blackgram
135.33,126.01,162.47,19.13,28.68,6.74,100.92,coffee
134.91,68.96,201.83,37.97,74.64,4.88,62.41,mothbeans
119.42,71.52,8.98,19.5,40.96,4.87,198.99,pomegranate
41.22,59.05,144.81,11.16,76.7,8.17,156.67,kidneybeans
53.91,140.34,55.58,28.1,40.53,9.28,47.65,blackgram
119.16,102.6,13.1,16.88,75.93,5.44,209.71,pigeonpeas
44.37,16.65,85.58,36.52,36.67,7.63,177.6,mothbeans
23.73,125.81,192.04,32.44,45.21,5.05,261.66,coffee
77.95,72.28,7.35,42.33,59.24,9.07,190.57,coffee
131.06,14.63,122.58,37.4,15.62,7.54,180.7,grapes
97.44,81.96,105.28,16.33,85.86,8.32,143.41,papaya
79.81,63.4,179.68,38.01,55.89,3.8,149.58,jute
13.6,127.88,21.8,32.46,50.63,7.09,287.23,jute
86.1,33.56,141.31,33.41,77.15,6.67,58.76,pomegranate
138.61,120.71,141.02,39.13,79.26,5.26,144.94,mothbeans
19.61,83.08,138.82,30.08,51.78,5.07,203.63,pigeonpeas
72.57,12.65,193.47,26.31,84.18,6.98,141.24,chickpea
122.83,141.06,169.62,32.28,15.18,7.74,99.3,grapes
103.71,76.77,13.39,20.43,19.06,3.7,100.46,jute
97.58,45.72,99.22,16.39,57.74,6.9,85.42,maize
98.35,70.72,84.59,31.58,38.33,4.52,116.29,apple
50.33,125.1,67.03,18.18,47.14,4.34,264.07,watermelon
41.1,47.69,95.27,12.8,36.25,7.24,161.46,rice
113.31,31.97,81.84,10.02,42.38,5.37,87.27,cotton
113.42,23.07,91.47,31.29,75.81,6.15,127.67,pomegranate
121.39,46.7,200.85,22.68,57.48,5.66,49.63,mango
127.85,114.21,22.73,36.33,89.79,7.39,273.13,maize
71.59,71.03,189.45,23.13,72.95,6.32,134.3,mango
70.21,36.85,101.05,27.01,31.89,9.28,294.51,orange
111.76,28.27,129.75,24.25,31.15,5.61,117.31,blackgram
90.99,51.58,171.04,32.77,36.87,7.94,254.18,wheat
98.28,136.59,77.09,22.46,77.46,5.04,91.79,mungbean
111.41,53.02,91.08,43.73,12.18,6.55,41.32,wheat
124.6,143.34,86.9,42.77,28.41,6.82,28.89,coffee
47.32,72.93,79.95,39.68,82.39,5.47,189.73,rice
52.58,30.08,190.11,42.21,61.19,6.33,107.24,maize
13.16,129.76,170.79,25.72,28.15,5.18,144.19,apple
80.96,69.45,26.8,28.78,27.53,3.54,249.22,mothbeans
5.03,104.35,26.62,35.97,79.01,4.79,89.47,lentil
65.18,142.72,90.57,34.37,81.5,7.7,106.42,papaya
75.97,12.02,24.73,41.17,30.49,8.13,256.69,blackgram
40.12,18.54,128.82,35.07,43.64,5.18,157.97,orange
82.72,105.86,33.74,44.93,76.77,5.95,251.75,watermelon
4.27,44.46,109.47,22.2,71.68,3.72,124.85,apple
5.23,30.8,6.44,39.15,75.11,4.92,131.54,jute
115.16,10.51,68.32,34.42,51.47,8.18,66.8,apple
50.43,8.06,140.44,34.2,82.92,7.14,276.58,papaya
17.79,113.43,101.81,21.4,36.08,4.73,271.1,blackgram
73.11,23.82,200.65,37.5,22.53,5.04,295.58,pigeonpeas
107.8,70.48,179.82,41.51,66.7,8.4,132.69,papaya
30.21,89.83,76.81,17.65,53.15,4.75,249.21,mungbean
87.2,64.97,14.1,31.89,78.37,5.5,136.19,pigeonpeas
11.95,8.79,174.13,23.72,16.49,7.49,147.2,apple
7.24,114.69,187.25,44.63,77.5,6.87,252.4,pigeonpeas
74.39,6.47,169.13,26.76,33.46,6.27,69.66,mango
75.69,111.66,30.59,17.99,62.39,8.9,81.69,cotton
89.24,130.06,204.58,23.37,13.21,4.82,108.12,wheat
101.65,65.6,56.72,32.88,58.77,7.95,240.69,banana
136.62,79.98,149.84,12.66,67.38,4.45,124.34,mothbeans
72.28,71.78,186.61,31.13,39.5,7.19,120.29,pigeonpeas
45.21,59.49,52.14,42.59,27.23,8.72,299.67,apple
111.33,129.24,186.65,39.76,53.01,6.25,127.47,mungbean
37.92,130.15,66.9,12.37,76.66,7.85,89.38,pigeonpeas
61.46,52.01,200.28,44.77,35.88,8.42,194.5,papaya
10.98,91.11,61.25,34.46,30.2,4.32,244.53,cotton
3.55,134.77,195.69,15.68,32.31,7.73,39.49,coffee
134.77,139.69,15.71,10.43,85.93,9.02,193.29,blackgram
117.04,76.25,146.85,15.99,38.74,6.96,30.01,coconut
97.44,68.4,111.42,39.34,10.29,4.62,167.37,muskmelon
57.25,44.02,100.58,10.76,72.53,4.26,91.96,orange
24.26,139.24,49.7,18.16,65.94,5.06,105.86,papaya
21.9,24.99,146.12,36.51,20.29,4.12,150.79,mothbeans
35.03,86.18,43.16,30.51,88.79,6.58,279.59,mungbean
76.89,44.56,115.57,37.4,58.64,3.92,218.99,cotton
100.04,44.06,55.65,36.12,50.06,4.84,282.32,papaya
92.43,61.7,196.12,11.77,40.58,6.14,204.79,rice
39.19,144.83,10.73,41.24,81.89,6.34,21.99,mango
133.68,12.7,44.95,17.95,29.52,6.89,94.36,rice
103.31,86.0,53.46,29.37,32.86,7.73,273.62,pomegranate
77.61,16.56,87.81,32.55,19.79,3.78,200.16,wheat
85.64,26.63,51.55,15.9,70.73,3.98,294.86,cotton
58.74,66.54,103.27,44.17,57.64,3.87,63.67,maize
34.68,76.46,179.49,27.09,58.73,6.04,103.09,mango
49.84,41.23,147.41,12.02,27.48,3.75,121.46,mothbeans
106.1,49.3,120.99,42.8,62.09,7.98,111.44,wheat
2.02,17.18,22.8,30.52,71.24,4.84,90.56,wheat
16.25,47.45,143.8,34.47,38.63,9.14,144.17,maize
6.44,140.32,38.28,28.38,74.11,6.42,199.84,mango
5.7,137.26,162.27,39.22,37.9,6.18,107.15,banana
119.76,51.88,55.01,11.16,70.65,8.18,42.32,rice
98.51,84.92,88.41,19.39,12.7,7.78,218.39,orange
66.38,132.34,75.09,26.44,54.09,7.14,148.52,kidneybeans
13.7,5.87,176.76,12.68,87.56,9.11,175.82,papaya
68.83,118.5,30.31,34.71,88.5,6.03,147.51,lentil
66.29,137.77,118.13,23.78,32.54,8.35,269.3,pigeonpeas
24.25,17.79,33.41,19.54,45.31,5.78,176.45,orange
60.74,27.6,145.96,10.12,15.04,8.53,278.52,watermelon
55.79,139.5,186.02,35.19,79.87,5.06,162.96,grapes
86.22,80.26,91.92,39.18,55.49,5.24,101.92,muskmelon
88.91,6.99,102.62,23.83,40.81,7.57,119.52,chickpea
6.34,41.07,190.48,29.75,19.02,4.78,166.2,papaya
52.45,67.99,109.2,17.97,85.74,4.87,168.4,cotton
87.62,102.01,102.52,31.78,52.42,5.33,212.45,mungbean
70.44,107.64,120.67,10.42,32.63,7.57,82.86,rice
119.91,144.36,142.85,27.1,38.02,8.84,204.48,coconut
92.22,45.25,26.38,32.55,31.66,7.55,238.0,jute
22.81,80.35,169.22,42.14,58.14,8.47,209.45,jute
9.88,79.67,92.1,23.35,84.4,6.76,154.91,mango
89.94,61.79,19.47,36.78,78.54,3.91,297.67,blackgram
3.71,28.68,162.24,30.92,46.83,4.1,133.35,rice
82.01,141.84,80.39,42.45,76.12,6.83,49.85,watermelon
131.63,124.46,25.07,23.94,43.85,5.47,250.02,watermelon
80.57,74.77,131.76,21.17,30.18,4.82,79.42,grapes
54.34,89.45,181.03,41.05,88.67,6.3,219.72,kidneybeans
90.06,36.82,182.55,11.72,34.31,7.5,70.11,apple
64.16,81.13,196.53,14.77,35.9,5.81,24.73,pigeonpeas
76.39,102.3,178.54,12.88,89.18,8.32,64.74,blackgram
131.81,77.12,5.43,39.51,20.71,7.93,125.56,coconut
54.05,143.64,81.05,10.37,70.84,7.91,49.85,papaya
134.57,90.59,168.71,40.16,84.87,9.41,75.35,coffee
126.75,56.94,78.25,25.79,50.94,5.27,234.1,cotton
27.41,113.1,125.31,10.14,10.2,7.37,235.57,apple
9.71,28.86,126.26,24.06,40.0,8.63,248.9,mothbeans
14.11,58.83,78.01,16.54,18.93,6.98,255.52,mungbean
2.55,53.57,185.89,31.85,43.3,8.24,137.72,watermelon
13.22,65.45,105.65,33.78,73.2,5.99,262.91,pigeonpeas
95.62,114.45,97.96,27.06,45.1,7.04,167.26,rice
9.97,72.78,204.5,11.42,44.55,3.83,151.77,blackgram
44.66,116.16,103.7,32.96,54.54,9.41,221.19,mothbeans
118.28,85.71,40.68,39.47,56.54,8.3,79.87,jute
3.26,52.89,107.61,35.21,78.5,8.71,241.06,coconut
114.03,118.4,167.8,39.05,34.67,7.67,140.25,papaya
39.46,38.36,160.37,17.02,75.73,4.62,55.64,chickpea
16.54,36.41,162.72,41.11,55.27,3.69,53.41,rice
97.54,75.63,146.6,21.28,34.04,8.69,66.17,blackgram
88.05,41.52,55.84,10.47,33.61,5.88,269.36,wheat
122.85,6.27,177.42,39.52,38.89,5.08,297.46,muskmelon
102.91,95.76,183.69,42.96,59.82,6.87,119.95,wheat
112.49,76.55,43.83,32.94,28.46,6.03,101.8,maize
39.48,67.37,31.09,18.1,83.63,7.41,81.26,grapes
24.84,140.38,200.12,18.81,55.99,6.4,250.67,mango
105.09,84.97,178.66,26.33,83.6,7.68,78.58,apple
112.96,125.88,183.65,41.42,13.71,8.62,278.75,lentil
138.67,24.52,182.28,15.24,37.41,4.67,206.86,maize
57.77,84.69,113.34,38.91,11.82,5.48,271.2,chickpea
52.08,126.52,134.28,20.2,31.78,6.12,175.12,kidneybeans
108.7,86.63,114.07,38.3,78.96,9.27,213.39,pomegranate
47.71,105.52,15.24,42.21,12.93,5.69,193.45,pigeonpeas
130.31,57.09,154.1,24.96,44.89,5.79,252.73,rice
120.18,17.94,106.07,22.78,19.41,7.42,254.04,papaya
60.06,69.11,134.54,38.08,43.35,6.02,185.14,mothbeans
105.12,60.23,105.53,28.53,77.11,9.21,197.1,coffee
105.64,126.39,103.36,33.96,59.85,8.87,278.13,lentil
14.44,39.16,39.36,31.8,68.94,6.58,280.36,banana
126.36,140.34,60.74,15.35,37.93,7.37,205.99,banana
70.74,139.14,36.77,39.57,85.55,3.85,22.17,rice
115.7,39.67,44.13,16.85,66.74,7.67,49.24,blackgram
44.81,53.73,199.6,42.63,43.74,7.74,260.22,apple
125.37,130.38,35.62,18.77,44.12,5.66,43.72,coffee
54.49,140.33,58.85,35.69,83.49,4.82,79.79,banana
1.52,67.08,123.12,19.96,56.11,8.99,84.55,wheat
126.75,49.94,127.04,21.12,66.51,6.06,188.07,blackgram
12.78,78.65,35.79,20.85,43.36,7.42,181.46,banana
44.7,101.29,163.74,36.18,27.9,3.7,101.04,chickpea
133.01,43.29,162.04,29.49,67.88,5.98,78.13,jute
133.09,108.11,52.46,40.9,58.63,8.4,234.07,banana
80.28,12.23,62.73,20.76,50.11,5.83,281.93,orange
88.46,11.9,192.6,34.22,59.92,7.12,34.79,maize
62.78,59.08,170.13,36.35,26.66,4.76,57.29,jute
41.05,54.49,144.56,15.3,73.52,6.0,199.81,rice
46.01,49.19,21.45,24.02,85.85,9.07,245.24,coffee
94.15,73.74,88.65,26.9,81.29,6.9,241.53,orange
105.33,49.9,116.86,22.45,35.71,8.91,221.51,cotton
110.82,31.92,42.48,21.27,42.48,8.91,268.48,coffee
110.55,48.33,94.65,34.02,74.67,9.16,80.86,mungbean
12.77,141.49,125.21,17.56,57.61,8.87,50.04,papaya
69.22,62.56,70.48,34.83,53.83,3.52,192.3,jute
8.06,67.26,161.19,42.73,84.13,9.1,250.24,chickpea
76.93,85.72,173.09,29.78,52.88,4.32,182.97,coffee
61.81,142.67,69.72,31.4,51.2,3.74,289.64,muskmelon
124.28,38.82,172.73,12.41,13.36,3.83,242.76,apple
49.13,100.38,25.72,40.26,15.55,5.59,216.22,coffee
16.39,105.24,172.55,19.99,10.59,7.22,36.87,blackgram
